,post_id,topic_id
238,285114,93
239,285114,164
240,285080,267
241,285027,267
242,285027,469
243,285035,21
244,285035,97
245,285035,272
246,285042,2
247,285042,8
248,285042,9
249,285042,46
250,285042,48
251,285042,72
252,285120,46
253,285120,93
254,285120,204
255,285120,352
256,285099,8
257,285099,19
258,285099,46
259,285099,362
260,285125,46
261,276761,46
262,285122,71
263,285122,128
264,285122,164
265,285122,206
266,285122,343
267,285116,85
268,285116,104
269,285116,128
270,285116,164
271,284822,68
272,284822,471
273,285112,44
274,284861,46
275,284861,237
276,285091,41
277,285091,237
278,284838,2
279,284838,8
280,284838,21
281,284838,34
282,284838,46
283,284838,60
284,284838,71
285,284838,164
286,284838,237
287,284838,352
288,285105,2
289,285105,57
290,285102,164
291,285096,21
292,285096,44
293,285096,45
294,285096,46
295,285096,63
296,285096,88
297,285096,89
298,285096,93
299,285096,102
300,285096,104
301,285096,122
302,285096,132
303,285096,164
304,285096,204
305,285096,214
306,285096,251
307,285096,267
308,285096,271
309,285096,272
310,285096,276
311,285086,8
312,285086,43
313,285086,46
314,285086,362
315,285055,21
316,285055,84
317,285055,164
318,285095,21
319,285070,44
320,285070,242
321,285070,267
322,285067,46
323,285067,93
324,285067,352
325,285094,44
326,285094,267
327,285092,164
328,285065,2
329,285065,46
330,285065,72
331,285065,94
332,285037,46
333,285037,48
334,285037,96
335,285037,237
336,285037,252
337,285061,21
338,285061,46
339,285061,352
340,285071,94
341,285071,237
342,285071,352
343,285087,21
344,285072,12
345,285072,93
346,285072,237
347,285072,258
348,285007,60
349,285007,89
350,285007,123
351,285077,2
352,285077,8
353,284613,21
354,284613,470
355,285073,42
356,285073,164
357,285073,207
358,285073,353
359,284977,230
360,284686,135
361,284686,164
362,284686,267
363,284419,46
364,284419,247
365,284419,267
366,284985,46
367,284985,88
368,284985,94
369,284985,237
370,285075,164
371,285074,46
372,285074,71
373,285074,164
374,285005,46
375,285005,250
376,285005,468
377,284645,19
378,284645,57
379,284645,471
380,285058,44
381,285058,88
382,285058,214
383,285058,251
384,285058,268
385,285058,352
386,284872,44
387,284872,46
388,284872,164
389,284973,39
390,284973,85
391,284973,123
392,284973,128
393,284973,164
394,285056,34
395,285056,46
396,285048,68
397,285048,84
398,285048,102
399,285059,237
400,285059,267
401,285059,268
402,285059,352
403,284320,46
404,284320,71
405,284320,101
406,284320,164
407,284320,237
408,284866,46
409,284866,237
410,284992,44
411,284992,76
412,284992,167
413,284992,352
414,284995,2
415,284995,8
416,284995,94
417,284995,212
418,284995,374
419,285063,46
420,285063,267
421,285060,89
422,285060,352
423,285057,352
424,285044,268
425,285044,352
426,285043,46
427,285039,2
428,285039,8
429,285039,205
430,285038,44
431,285038,46
432,285038,267
433,285038,272
434,285038,352
435,285036,19
436,285036,252
437,285036,351
438,285033,267
439,285033,272
440,284198,46
441,284198,96
442,284198,213
443,284198,352
444,285030,46
445,285030,365
446,285029,60
447,285029,272
448,285029,352
449,285028,352
450,285028,468
451,285016,352
452,285015,21
453,285012,8
454,285012,51
455,285012,352
456,285012,469
457,285011,88
458,285011,104
459,285011,247
460,285011,267
461,285009,64
462,285009,278
463,285009,283
464,285008,2
465,285008,8
466,285008,93
467,285008,164
468,285006,74
469,285006,230
470,285006,276
471,285006,352
472,285000,93
473,285000,352
474,284999,46
475,284999,93
476,284999,108
477,284999,164
478,284999,268
479,284999,352
480,284997,2
481,284997,8
482,284997,43
483,284996,354
